proof_id,domain,theorem_name,proof_text,is_correct,flaw_type,flaw_span_start,flaw_span_end
3332,NumberTheory,IrrationalSqrt2,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3333,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3334,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3335,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3336,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3337,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3338,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3339,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3340,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",0,base_case,0,0
3341,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3342,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3343,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3344,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3345,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3346,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3347,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3348,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3349,Calculus,ContinuityLinear,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3350,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3351,SetTheory,SubsetTransitive,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3352,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3353,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,0,base_case,0,0
3354,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3355,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3356,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,0,base_case,0,0
3357,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3358,NumberTheory,SumFirstN,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3359,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,0,base_case,0,0
3360,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3361,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3362,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3363,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3364,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3365,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3366,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3367,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3368,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3369,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",0,equivocation,0,0
3370,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3371,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,0,equivocation,0,0
3372,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3373,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3374,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3375,NumberTheory,IrrationalSqrt2,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3376,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3377,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3378,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3379,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3380,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3381,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3382,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,0,base_case,0,0
3383,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3384,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,0,equivocation,0,0
3385,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3386,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3387,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3388,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3389,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3390,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3391,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3392,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3393,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3394,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3395,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3396,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3397,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3398,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3399,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3400,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",0,equivocation,0,0
3401,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,0,equivocation,0,0
3402,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3403,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3404,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3405,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3406,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3407,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3408,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3409,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,equivocation,0,0
3410,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3411,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3412,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",0,equivocation,0,0
3413,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,equivocation,0,0
3414,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3415,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3416,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3417,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3418,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3419,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3420,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3421,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3422,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3423,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3424,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3425,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3426,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3427,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3428,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,equivocation,0,0
3429,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3430,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3431,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3432,Logic,DeMorgan,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0
3433,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,0,base_case,0,0
3434,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3435,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
3436,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3437,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3438,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3439,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3440,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3441,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3442,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3443,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3444,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0
3445,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3446,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3447,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3448,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3449,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0
3450,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3451,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3452,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3453,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3454,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.
There exists k, hence for all k the statement holds.",0,misuse_quantifier,0,0
3455,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,equivocation,0,0
3456,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3457,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1
3458,Calculus,ContinuityLinear,"f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0
3459,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3460,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",1,none,-1,-1
3461,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3462,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Therefore, for all n, n is prime.",0,non_sequitur,0,0
3463,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,1,none,-1,-1
3464,Calculus,ContinuityLinear,f(x)=ax+b is continuous: given eps>0 choose delta=eps/|a| (a≠0; trivial if a=0). |f(x)-f(x0)|=|a||x-x0|<eps.,1,none,-1,-1
3465,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,0,base_case,0,0
3466,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1
